,fuel_id,unit_feature_id,surface_consumed,midstory_consumed,canopy_consumed,fdfm,lfm,wind_speed,wind_direction,wind_height,side_to_start_ignition,number_igniters,firing_technique,ignition_type,dash_length,gap_length,blackline_width,spacing_distance,igniter_velocity,ignition_time
2088,2022,2133,0.8220800757408142,,,0.07,0.9,4.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2089,2022,2133,0.8362683653831482,,,0.11,0.9,6.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2090,2022,2133,0.5681188106536865,,,0.15,0.9,2.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2091,2022,2133,0.7444837689399719,,,0.07,0.9,2.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2092,2022,2133,0.8069773316383362,,,0.11,0.9,6.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2093,2022,2133,0.7962937951087952,,,0.09,0.9,4.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2094,2022,2133,0.7865667939186096,,,0.11,0.9,4.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2095,2022,2133,0.679264485836029,,,0.11,0.9,2.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2096,2022,2133,0.7969635128974915,,,0.11,0.9,6.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2097,2022,2133,0.7748904228210449,,,0.15,0.9,6.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2098,2022,2133,0.7196742296218872,,,0.15,0.9,4.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2099,2022,2133,0.8172332048416138,,,0.07,0.9,4.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2100,2022,2133,0.7566519379615784,,,0.11,0.9,4.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2101,2022,2133,0.7253974080085754,,,0.09,0.9,2.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2102,2022,2133,0.7183433771133423,,,0.15,0.9,4.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2103,2022,2133,0.8188703656196594,,,0.09,0.9,6.0,210.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2104,2022,2133,0.8113317489624023,,,0.09,0.9,6.0,225.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2105,2022,2133,0.8355544805526733,,,0.09,0.9,6.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2106,2022,2133,0.9437975883483887,,,0.07,0.9,6.0,240.0,6.0,right,2,head,dashes,,,3.047851264858275,3.047851264858275,2.0,505.5106609708021
2107,2028,2130,0.7416149973869324,,,0.2,0.9,8.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2108,2028,2130,0.7133119702339172,,,0.2,0.9,5.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2109,2028,2130,0.7527416348457336,,,0.2,0.9,8.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2110,2028,2130,0.8401637673377991,,,0.15,0.9,8.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2111,2028,2130,0.8206790089607239,,,0.15,0.9,8.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2112,2028,2130,0.7547281980514526,,,0.2,0.9,8.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2113,2028,2130,0.7606588006019592,,,0.15,0.9,5.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2114,2028,2130,0.8089903593063354,,,0.1,0.9,2.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2115,2028,2130,0.8096136450767517,,,0.1,0.9,2.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2116,2028,2130,0.9086773991584778,,,0.05,0.9,5.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2117,2028,2130,0.7226560115814209,,,0.15,0.9,2.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2118,2028,2130,0.8019456267356873,,,0.1,0.9,2.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2119,2028,2130,0.8745346069335938,,,0.1,0.9,8.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2120,2028,2130,0.8750268816947937,,,0.05,0.9,5.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2121,2028,2130,0.8825817704200745,,,0.05,0.9,5.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2122,2028,2130,0.6968640089035034,,,0.2,0.9,5.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2123,2028,2130,0.8052945137023926,,,0.15,0.9,8.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2124,2028,2130,0.7916179895401001,,,0.15,0.9,5.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2125,2028,2130,0.832435131072998,,,0.1,0.9,5.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2126,2028,2130,0.8683849573135376,,,0.1,0.9,8.0,240.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2127,2028,2130,0.7707241177558899,,,0.15,0.9,5.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2128,2028,2130,0.7042388916015625,,,0.15,0.9,2.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2129,2028,2130,0.9245662689208984,,,0.05,0.9,8.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2130,2028,2130,0.8703964352607727,,,0.05,0.9,2.0,210.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
2131,2028,2130,0.63182133436203,,,0.2,0.9,2.0,225.0,6.0,right,2,strip,dashes,,12.0,1.828710758914965,6.09570252971655,2.0,1249.352881037939
