fuel_id,unit_feature_id,surface_consumed,midstory_consumed,canopy_consumed,fdfm,lfm,wind_speed,wind_direction,side_to_start_ignition,number_igniters,firing_technique,dash_length,gap_length,blackline_width,spacing_distance,igniter_velocity,ignition_time
287,330,0.045456644147634506,0.003793480107560754,3.7410947697935626e-05,0.2,1.0,2.235,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.047722380608320236,0.004412700887769461,6.293612386798486e-05,0.2,0.9,2.235,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.03253847733139992,0.002287962008267641,6.235158070921898e-05,0.1,0.9,6.705,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.0380236841738224,0.0031434225384145975,4.286671173758805e-05,0.1,1.0,4.47,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.03017634153366089,0.001659791567362845,0.00015607380191795528,0.2,1.0,6.705,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.03954092413187027,0.0033421791158616543,7.131462189136073e-05,0.1,1.0,4.47,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.02668292261660099,0.0019880104809999466,4.2087314795935526e-05,0.15,0.9,6.705,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.040483392775058746,0.0032200717832893133,2.0653960746130906e-05,0.2,0.9,2.235,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.027380604296922684,0.0016675008228048682,5.124520612298511e-05,0.2,1.0,6.705,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.02719789929687977,0.002001036424189806,9.606040111975744e-05,0.2,1.0,6.705,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.03333711996674538,0.0023319136817008257,3.9749131246935576e-05,0.2,1.0,4.47,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.028619922697544098,0.002189071150496602,2.182305252063088e-05,0.2,0.9,4.47,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.030100196599960327,0.0026280549354851246,0.00017127199680544436,0.15,1.0,4.47,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.032666612416505814,0.0023304957430809736,0.0001248980115633458,0.2,1.0,4.47,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.026544108986854553,0.0021219917107373476,4.4425501982914284e-05,0.2,0.9,6.705,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.04458295926451683,0.0031680564861744642,5.124520612298511e-05,0.2,0.9,2.235,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.03574638441205025,0.0032277810387313366,0.00011651951353996992,0.15,1.0,4.47,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.034908562898635864,0.002336964476853609,3.176033715135418e-05,0.1,1.0,6.705,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.02709008753299713,0.0017481377581134439,5.182974928175099e-05,0.2,0.9,6.705,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.03269275650382042,0.0019935043528676033,1.734153374854941e-05,0.15,0.9,4.47,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.03471319004893303,0.002288227900862694,5.0855505833169445e-05,0.1,1.0,6.705,16.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.027338188141584396,0.0020378991030156612,3.935943459509872e-05,0.15,1.0,6.705,46.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
287,330,0.08040651679039001,0.00842283759266138,0.00022076356981415302,0.1,0.9,2.235,76.0,right,6,back,4.0,5.0,10.0,10.0,2.0,1342.1528645985295
